,ISO_3166-1_alpha-2,ISO_3166-1_alpha-3,_name,_type,administrative,aerodrome,allotments,archaeological_site,arts_centre,artwork,attraction,bakery,bar,bay,beach,building,bus_stop,cafe,canal,car_rental,chalet,city,city_district,clothes,commercial,community_centre,continent,convenience,country,country_code,county,county_code,cycleway,department_store,doctors,dry_cleaning,farm,farmyard,fast_food,ferry_terminal,florist,footway,fuel,garden,grave_yard,guest_house,hamlet,hardware,hostel,hotel,house,house_number,industrial,information,island,islet,lat,lng,local_administrative_area,locality,marina,memorial,mountain_pass,neighbourhood,path,peak,pedestrian,picnic_site,place_of_worship,political_union,postcode,pub,raceway,railway,recreation_ground,region,residential,restaurant,retail,river,road,road_type,sports_centre,stadium,state,state_code,state_district,station,stream,suburb,subway_entrance,supermarket,taxi,town,toys,travel_agency,university,unknown,viewpoint,village,water
10,CO,COL,Argentina,city,,,,,,,,,,,,,,,,,,,,,,,South America,,Colombia,co,La Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,2.1985723,-75.9791154,,,,,,,,,,,,,,,,,,,,,,,,,,,Huila,HUI,,,,,,,,La Argentina,,,,,,,
11,CO,COL,Argentina,village,,,,,,,,,,,,,,,,,,,,,,,South America,,Colombia,co,Valledupar,,,,,,,,,,,,,,,,Argentina,,,,,,,,,,10.3153134,-73.2824943,,,,,,,,,,,,,,,,,,,,,,,,,,,Cesar,CES,,,,,,,,,,,,,,,
12,BR,BRA,Argentina,village,,,,,,,,,,,,,,,,,,,Codajás,,,,South America,,Brazil,br,Microrregião de Coari,,,,,,,,,,,,,,,,Argentina,,,,,,,,,,-3.7819879,-62.3966518,,,,,,,,,,,,,,,,,,,,,,,,,,,Amazonas,AM,,,,,,,,,,,,,,,
13,PE,PER,Argentina,village,,,,,,,,,,,,,,,,,,,,,,,South America,,Peru,pe,Lucanas,,,,,,,,,,,,,,,,Argentina,,,,,,,,,,-15.2776624,-74.2836595,,,,,,,,,,,,,,,,,,,,,,,,,,,Ayacucho,AYA,,,,,,,,,,,,,,,
14,EC,ECU,Argentina,village,,,,,,,,,,,,,,,,,,,,,,,South America,,Ecuador,ec,Cantón Cumanda,,,,,,,,,,,,,,,,Argentina,,,,,,,,,,-2.2350434,-79.0899754,,,,,,,,,,,,,020201,,,,,,,,,,,,,,Chimborazo,H,,,,,,,,,,,,,,,
15,CO,COL,Argentina,village,,,,,,,,,,,,,,,,,,,,,,,South America,,Colombia,co,Yalí,,,,,,,,,,,,,,,,La Argentina,,,,,,,,,,6.6964244,-74.6953876,,,,,,,,,,,,,,,,,,,,,,,,,,,Antioquia,ANT,Nordeste,,,,,,,,,,,,,,
16,CO,COL,Argentina,village,,,,,,,,,,,,,,,,,,,,,,,South America,,Colombia,co,Remedios,,,,,,,,,,,,,,,,La Argentina,,,,,,,,,,7.1827262,-74.535886,,,,,,,,,,,,,,,,,,,,,,,,,,,Antioquia,ANT,Nordeste,,,,,,,,,,,,,,
17,NO,NOR,Asker,county,,,,,,,,,,,,,,,,,,,,,,,Europe,,Norway,no,Akershus,,,,,,,,,,,,,,,,,,,,,,,,,,59.8385784,10.4577725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,NO,NOR,Asker,city,,,,,,,,,,,,,,,,,,,,,,,Europe,,Norway,no,Akershus,,,,,,,,,,,,,,,,,,,,,,,,,,59.8352336,10.4329756,,,,,,,,,,,,,1384,,,,,,,,,,,,,,,,,,,,,,,Asker,,,,,,,
19,NO,NOR,Asker,county,,,,,,,,,,,,,,,,,,,,,,,Europe,,Norway,no,Buskerud,,,,,,,,,,,,,,,,,,,,,,,,,,59.5727831,10.5243692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,NO,NOR,Asker,county,,,,,,,,,,,,,,,,,,,,,,,Europe,,Norway,no,Buskerud,,,,,,,,,,,,,,,,,,,,,,,,,,59.7342982,10.4338931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,SE,SWE,Asker,village,,,,,,,,,,,,,,,,,,,,,,,Europe,,Sweden,se,Örebro,,,,,,,,,,,,,,,,,,,,,,,,,,59.1489606,15.474376,,,,,,,,,,,,European Union,,,,,,,,,,,,,,,Örebro County,,,,,,,,,,,,,,,Askersby,
22,XK,,Asker,road,,,,,,,,,,,,,,,,,,,,,,,,,Kosovo,xk,Municipality of Mamusha,,,,,,,,,,,,,,,,,,,,,,,,,,42.3363285,20.7176707,,,,,,,,,,,,,20520,,,,,,,,,,Asker,tertiary,,,,,,,,,,,,Mamushë,,,,,,,
23,NO,NOR,Asker,station,,,,,,,,,,,,,,,,,,,,,,,Europe,,Norway,no,Akershus,,,,,,,,,,,,,,,,,,,,,,,,,,59.8334885,10.4344797,,,,,,,,,,,,,1384,,,,,,,,,,Torvveien,,,,,,,Asker,,Risenga,,,,Asker,,,,,,,
24,NO,NOR,Asker,railway,,,,,,,,,,,,,,,,,,,,,,,Europe,,Norway,no,Akershus,,,,,,,,,,,,,,,,,,,,,,,,,,59.8331039,10.4337129,,,,,,,,,,,,,1384,,,Asker,,,,,,,Skysstasjon,,,,,,,,,Risenga,,,,Asker,,,,,,,
25,NO,NOR,Asker,railway,,,,,,,,,,,,,,,,,,,,,,,Europe,,Norway,no,Akershus,,,,,,,,,,,,,,,,,,,,,,,,,,59.8330064,10.4339954,,,,,,,,,,,,,1388,,,Asker,,,,,,,Lensmannslia,,,,,,,,,Risenga,,,,Asker,,,,,,,
26,NO,NOR,Aurdal,village,,,,,,,,,,,,,,,,,,,,,,,Europe,,Norway,no,Oppland,,,,,,,,,,,,,,,,,,,,,,,,,,60.9242327,9.4159418,,,,,,,,,,,,,2910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aurdal,
27,NO,NOR,Aurdal,farm,,,,,,,,,,,,,,,,,,,,,,,Europe,,Norway,no,Hordaland,,,,,,Aurdal,,,,,,,,,,,,,,,,,,,,60.581607,6.8874073,,,,,,,,,,,,,5730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ulvik,
28,NO,NOR,Aurdal,bus_stop,,,,,,,,,,,,,Aurdal,,,,,,,,,,Europe,,Norway,no,Hordaland,,,,,,,,,,,,,,,,,,,,,,,,,,60.5815,6.883144,,,,,,,,,,,,,5730,,,,,,,,,,Espelandsvegen,bus_stop,,,,,,,,,,,,,,,,,,Ulvik,
29,NO,NOR,Aurdal,bus_stop,,,,,,,,,,,,,Aurdal,,,,,,,,,,Europe,,Norway,no,Rogaland,,,,,,,,,,,,,,,,Knapphus,,,,,,,,,,59.559359,5.722217,,,,,,,,,,,,,5576,,,,,,,,,,Aurdalsvegen,bus_stop,,,,,,,,,,,,,,,,,,,
30,AZ,AZE,Baku,city,,,,,,,,,,,,,,,,,,Baku,,,,,Asia,,Azerbaijan,az,,,,,,,,,,,,,,,,,,,,,,,,,,,40.3754434,49.8326748,,,,,,,,,,,,,,,,,,,,,,,,,,,Baku,,,,,,,,,,,,,,,,
31,AZ,AZE,Baku,state,,,,,,,,,,,,,,,,,,,,,,,Asia,,Azerbaijan,az,,,,,,,,,,,,,,,,,,,,,,,,,,,40.1468838,49.6564179,,,,,,,,,,,,,,,,,,,,,,,,,,,Baku,,,,,,,,,,,,,,,,
32,NP,NPL,Baku,city,,,,,,,,,,,,,,,,,,Baku,,,,,Asia,,Nepal,np,Solukhumbu,,,,,,,,,,,,,,,,,,,,,,,,,,27.5456392,86.7367082,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern Development Region,,Sagarmatha,,,,,,,,,,,,,,
33,CD,COD,Baku,village,,,,,,,,,,,,,,,,,,,,,,,Africa,,DR Congo,cd,Mobati-Boyele,,,,,,,,,,,,,,,,,,,,,,,,,,3.4113926,23.817091,,,,,,,,,,,,,,,,,,,,,,,,,,,Lower Uele,,Orientale,,,,,,,,,,,,,Baku,
34,ZA,ZAF,Baku,neighbourhood,,,,,,,,,,,,,,,,,,Intsika Yethu Local Municipality,,,,,Africa,,RSA,za,Chris Hani District Municipality,,,,,,,,,,,,,,,,,,,,,,,,,,-31.885,27.9283333,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern Cape,EC,,,,Baku,,,,,,,,,,,
35,ES,ESP,Baku,village,,,,,,,,,,,,,,,,,,,,,,,Europe,,Spain,es,Gipuzkoa,,,,,,,,,,,,,,,,,,,,,,,,,,43.0620802,-2.4688428,,Bakue,,,,,,,,,,European Union,20500,,,,,,,,,,,,,,Basque Country,,,,,,,,,Arrasate / Mondragón,,,,,,,
36,RU,RUS,Baku,peak,,,,,,,,,,,,,,,,,,,,,,,Asia,,Russia,ru,городской округ Южно-Сахалинск,,,,,,,,,,,,,,,,,,,,,,,,,,47.1145555,142.5042522,,,,,,,,Баку,,,,,,,,,,,,,,,,,,,Sakhalin Oblast,,,,,,,,,,,,,,,,
37,ME,MNE,Baku,road,,,,,,,,,,,,,,,,,,Podgorica,,,,,Europe,,Montenegro,me,Podgorica Capital City,,,,,,,,,,,,,,,,,,,,,,,,,,42.4436446,19.2366397,,,,,,Kruševac,,,,,,,81103,,,,,,,,,,Baku,residential,,,,,,,,,,,,,,,,,,,
38,ME,MNE,Baku,road,,,,,,,,,,,,,,,,,,Podgorica,,,,,Europe,,Montenegro,me,Podgorica Capital City,,,,,,,,,,,,,,,,,,,,,,,,,,42.4421261,19.2353904,,,,,,Kruševac,,,,,,,81000,,,,,,,,,,Baku,residential,,,,,,,,,,,,,,,,,,,
39,EC,ECU,Baku,road,,,,,,,,,,,,,,,,,,Riobamba,,,,,South America,,Ecuador,ec,Riobamba,,,,,,,,,,,,,,,,,,,,,,,,,,-1.6814396,-78.6422175,,,,,,,,,,,,,EC060150,,,,,,,,,,Baku,residential,,,Chimborazo,H,,,,,,,,,,,,,,,
40,NO,NOR,Balberg,village,,,,,,,,,,,,,,,,,,,,,,,Europe,,Norway,no,Oppland,,,,,,,,,,,,,,,,,,,,,,,,,,61.1556321,10.4227683,,Balberg,,,,,,,,,,,2624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fåberg,
41,NO,NOR,Balberg,farmyard,,,,,,,,,,,,,,,,,,,,,,,Europe,,Norway,no,Hedmark,,,,,,,Balberg,,,,,,,,,,,,,,,,,,,60.683001,11.1688258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stange,
42,DE,DEU,Balberg,city,,,,,,,,,,,,,,,,,,,,,,,Europe,,Germany,de,,,,,,,,,,,,,,,,,,,,,,,,,,,51.6269,6.34961,,,,,,,,,,,,European Union,,,,,,,,,,,,,,,North Rhine-Westphalia,,,,,,,,,Balberg,,,,,,,
43,BG,BGR,Berg Sanatorium,bus_stop,,,,,,,,,,,,,Sanatorium,,,,,,,,,,Europe,,Bulgaria,bg,Nesebar,,,,,,,,,,,,,,,,,,,,,,,,,,42.71152,27.7353943,,,,,,,,,,,,European Union,8256,,,,,,,,,,първа,bus_stop,,,Burgas,,,,,кв. Инцараки,,,,Sveti Vlas,,,,,,,
44,NO,NOR,Bergen,city,,,,,,,,,,,,,,,,,,Bergen,,,,,Europe,,Norway,no,Hordaland,,,,,,,,,,,,,,,,,,,,,,,,,,60.3943055,5.3259192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,US,USA,Bergen,county,,,,,,,,,,,,,,,,,,,,,,,North America,,USA,us,Bergen County,,,,,,,,,,,,,,,,,,,,,,,,,,40.9678345,-74.0563254,,,,,,,,,,,,,,,,,,,,,,,,,,,New Jersey,NJ,,,,,,,,,,,,,,,
46,BE,BEL,Bergen,city,,,,,,,,,,,,,,,,,,Mons,,,,,Europe,,Belgium,be,Mons,,,,,,,,,,,,,,,,,,,,,,,,,,50.4549568,3.951958,,,,,,,,,,,,European Union,,,,,,,,,,,,,,,Wallonia,,,,,,,,,,,,,,,,
47,NL,NLD,Bergen,city,,,,,,,,,,,,,,,,,,,,,,,Europe,,Netherlands,nl,,,,,,,,,,,,,,,,,,,,,,,,,,,52.6702278,4.7011616,,,,,,,,,,,,European Union,1861JZ,,,,,,,,,,,,,,North Holland,,,,,,,,,Bergen,,,,,,,
48,NL,NLD,Bergen,neighbourhood,,,,,,,,,,,,,,,,,,Bergen (NH),,,,,Europe,,Netherlands,nl,,,,,,,,,,,,,,,,,,,,,,,,,,,52.6672571,4.6972235,,,,,,,,,,,,European Union,,,,,,,,,,,,,,,North Holland,,,,,Bergen (NH),,,,,,,,,,,
49,NL,NLD,Bergen,village,,,,,,,,,,,,,,,,,,,,,,,Europe,,Netherlands,nl,,,,,,,,,,,,,,,,,,,,,,,,,,,51.6060195,6.0576714,,,,,,,,,,,,European Union,,,,,,,,,,,,,,,Limburg,LI,,,,Bergen,,,,,,,,,,Bergen,
50,DE,DEU,Bergen,city,,,,,,,,,,,,,,,,,,Bergen,,,,,Europe,,Germany,de,Landkreis Celle,,,,,,,,,,,,,,,,,,,,,,,,,,52.8073915,9.9627795,,,,,,,,,,,,European Union,29303,,,,,,,,,,,,,,Lower Saxony,,,,,,,,,,,,,,,,
51,DE,DEU,Bergen,city,,,,,,,,,,,,,,,,,,Bergen,,,,,Europe,,Germany,de,Herrstein,,,,,,,,,,,,,,,,,,,,,,,,,,49.7808936,7.4176059,,,,,,,,,,,,European Union,55608,,,,,,,,,,,,,,Rhineland-Palatinate,,,,,,,,,,,,,,,,
52,DE,DEU,Bergen,city,,,,,,,,,,,,,,,,,,Bergen,,,,,Europe,,Germany,de,Bergen (VGem),,,,,,,,,,,,,,,,,,,,,,,,,,47.8065264,12.5897834,,,,,,,,,,,,European Union,83346,,,,,,,,,,,,,,Bavaria,,Upper Bavaria,,,,,,,,,,,,,,
53,CZ,CZE,Bergen,city,,,,,,,,,,,,,,,,,,Perná,,,,,Europe,,Czechia,cz,okres Břeclav,,,,,,,,,,,,,,,,,,,,,,,,,,48.8522201,16.6244227,,,,,,,,,,,,European Union,69186,,,,,,,,,,,,,,Southeast,,,,,,,,,,,,,,,,
54,DE,DEU,Berlin,city,,,,,,,,,,,,,,,,,,Berlin,,,,,Europe,,Germany,de,,,,,,,,,,,,,,,,,,,,,,,,,,,52.5170365,13.3888599,,,,,,,,,,,,European Union,10117,,,,,,,,,,,,,,Berlin,BE,,,,,,,,,,,,,,,
55,DE,DEU,Berlin,city,,,,,,,,,,,,,,,,,,Berlin,,,,,Europe,,Germany,de,,,,,,,,,,,,,,,,,,,,,,,,,,,52.5069348,13.3974827,,,,,,,,,,,,European Union,,,,,,,,,,,,,,,Berlin,BE,,,,,,,,,,,,,,,
56,US,USA,Berlin,city,,,,,,,,,,,,,,,,,,Berlin,,,,,North America,,USA,us,Coös County,,,,,,,,,,,,,,,,,,,,,,,,,,44.469071,-71.185226,,,,,,,,,,,,,03570,,,,,,,,,,,,,,New Hampshire,NH,,,,,,,,,,,,,,,
57,US,USA,Berlin,city,,,,,,,,,,,,,,,,,,Berlin,,,,,North America,,USA,us,Washington County,,,,,,,,,,,,,,,,,,,,,,,,,,44.2100759,-72.6034049,,,,,,,,,,,,,,,,,,,,,,,,,,,Vermont,VT,,,,,,,,,,,,,,,
58,US,USA,Berlin,city,,,,,,,,,,,,,,,,,,,,,,,North America,,USA,us,Hartford County,,,,,,,,,,,,,,,,,,,,,,,,,,41.621488,-72.7456519,,,,,,,,,,,,,06037,,,,,,,,,,,,,,Connecticut,CT,,,,,,,,Berlin,,,,,,,
59,US,USA,Berlin,city,,,,,,,,,,,,,,,,,,Berlin,,,,,North America,,USA,us,Camden County,,,,,,,,,,,,,,,,,,,,,,,,,,39.7912262,-74.9290536,,,,,,,,,,,,,,,,,,,,,,,,,,,New Jersey,NJ,,,,,,,,,,,,,,,
60,US,USA,Berlin,city,,,,,,,,,,,,,,,,,,Berlin,,,,,North America,,USA,us,Worcester County,,,,,,,,,,,,,,,,,,,,,,,,,,42.381204,-71.6370121,,,,,,,,,,,,,01503,,,,,,,,,,,,,,Massachusetts,MA,,,,,,,,,,,,,,,
61,US,USA,Berlin,city,,,,,,,,,,,,,,,,,,Berlin,,,,,North America,,USA,us,Worcester County,,,,,,,,,,,,,,,,,,,,,,,,,,38.3226154,-75.2176892,,,,,,,,,,,,,,,,,,,,,,,,,,,Maryland,MD,,,,,,,,,,,,,,,
62,US,USA,Berlin,city,,,,,,,,,,,,,,,,,,City of Berlin,,,,,North America,,USA,us,Green Lake County,,,,,,,,,,,,,,,,,,,,,,,,,,43.9680365,-88.9434477,,,,,,,,,,,,,,,,,,,,,,,,,,,Wisconsin,WI,,,,,,,,,,,,,,,
63,US,USA,Berlin,city,,,,,,,,,,,,,,,,,,Berlin,,,,,North America,,USA,us,Somerset County,,,,,,,,,,,,,,,,,,,,,,,,,,39.9206363,-78.9578022,,,,,,,,,,,,,,,,,,,,,,,,,,,Pennsylvania,PA,,,,,,,,,,,,,,,
64,DK,DNK,Bjærget,city,,,,,,,,,,,,,,,,,,,,,,,Europe,,Denmark,dk,Thisted Kommune,,,,,,,,,,,,,,,,,,,,,,,,,,57.10547,8.99315,,,,,,,,,,,,European Union,,,,,,,,,,,,,,,North Denmark,,,,,,,,,Bjerget,,,,,,,
65,NO,NOR,Bodø,city,,,,,,,,,,,,,,,,,,Bodø,,,,,Europe,,Norway,no,Nordland,,,,,,,,,,,,,,,,,,,,,,,,,,67.2839476,14.3825834,,,,,,,,,,,,,8005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,NO,NOR,Bodø,county,,,,,,,,,,,,,,,,,,,,,,,Europe,,Norway,no,Nordland,,,,,,,,,,,,,,,,,,,,,,,,,,67.3094783,13.915442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,AR,ARG,Bodø,neighbourhood,,,,,,,,,,,,,,,,,,Autonomous City of Buenos Aires,Boedo,,,,South America,,Argentina,ar,,,,,,,,,,,,,,,,,,,,,,,,,,,-34.6302518,-58.41879,,,,,,,,,,,,,,,,,,,,,,,,,,,Buenos Aires,B,,,,,,,,,,,,,,,
68,BR,BRA,Bodø,city,,,,,,,,,,,,,,,,,,Bodó,,,,,South America,,Brazil,br,Microrregião de Serra de Santana,,,,,,,,,,,,,,,,,,,,,,,,,,-5.9866104,-36.4134824,,,,,,,,,,,,,,,,,,,,,,,,,,,Rio Grande do Norte,RN,Mesorregião Central Potiguar,,,,,,,,,,,,,,
69,RO,ROU,Bodø,village,,,,,,,,,,,,,,,,,,,,,,,Europe,,Romania,ro,Timiș,,,,,,,,,,,,,,,,,,,,,,,,,,45.8161583,21.8851566,,,,,,,,,,,,European Union,307006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bodo,
70,FI,FIN,Bodø,city,,,,,,,,,,,,,,,,,,,,,,,Europe,,Finland,fi,Porvoon seutukunta,,,,,,,,,,,,,,,,,,,,,,,,Bodö,,60.178456,25.4510955,,,,,,,,,,,,European Union,,,,,,,,,,,,,,,Southern Finland,,Southern Finland,,,,,,,Porvoo,,,,,,,
71,FI,FIN,Bodø,city,,,,,,,,,,,,,,,,,,,,,,,Europe,,Finland,fi,Åboland,,,,,,,,,,,,,,,,,,,,,,,,Bodö,,59.910625,21.7604922,,,,,,,,,,,,European Union,,,,,,,,,,,,,,,Southern Finland,,South-Western Finland,,,,,,,Pargas,,,,,,,
72,ES,ESP,Bodø,river,,,,,,,,,,,,,,,,,,,,,,,Europe,,Spain,es,Palencia,P,,,,,,,,,,,,,,,,,,,,,,,,,42.7919955,-4.5722746,,,,,,,,,,,,European Union,,,,,,,,,,Boedo,,,,,Castile and León,,,,,,,,,,,,,,,Castrejón de la Peña,
73,ES,ESP,Bodø,river,,,,,,,,,,,,,,,,,,,,,,,Europe,,Spain,es,Palencia,P,,,,,,,,,,,,,,,,,,,,,,,,,42.7152096,-4.5876284,,,,,,,,,,,,European Union,34480,,,,,,,,,Boedo,,,,,Castile and León,,,,,,,,,,,,,,,Congosto de Valdavia,
74,ES,ESP,Bodø,river,,,,,,,,,,,,,,,,,,,,,,,Europe,,Spain,es,Palencia,P,,,,,,,,,,,,,,,,,,,,,,,,,42.7534557,-4.5733288,,,,,,,,,,,,European Union,34480,,,,,,,,,Boedo,,,,,Castile and León,,,,,,,,,,,,,,,Castrejón de la Peña,
75,IN,IND,Bokhara,county,,,,,,,,,,,,,,,,,,,,,,,Asia,,India,in,Bokhara,,,,,,,,,,,,,,,,,,,,,,,,,,26.3588905,85.6512634,,,,,,,,,,,,,843333,,,,,,,,,,,,,,Bihar,BR,Sitamarhi,,,,,,,,,,,,,,
76,IN,IND,Bokhara,village,,,,,,,,,,,,,,,,,,,,,,,Asia,,India,in,Bokhara,,,,,,,,,,,,,,,,,,,,,,,,,,26.3655144,85.6602287,,,,,,,,,,,,,843333,,,,,,,,,,,,,,Bihar,BR,Sitamarhi,,,,,,,,,,,,,Bokhara,
77,ZA,ZAF,Bokhara,neighbourhood,,,,,,,,,,,,,,,,,,ǁKhara Hais Local Municipality,,,,,Africa,,RSA,za,ZF Mgcawu District Municipality,,,,,,,,,,,,,,,,,,,,,,,,,,-27.9202883,20.4692339,,,,,,,,,,,,,,,,,,,,,,,,,,,Northern Cape,NC,,,,Bokhara,,,,,,,,,,,
78,IR,IRN,Bokhara,road,,,,,,,,,,,,,,,,,,Tajrish City,,,,,Asia,,Iran,ir,Shemiranat County,,,,,,,,,,,,,,,,,,,,,,,,,,35.7663864,51.4268375,,,,,,Zargandeh,,,,,,,191773,,,,,,,,,,Bokhara,residential,,,,,بخش رودبار قصران,,,District 3,,,,,,,,,,,
79,UZ,UZB,Bokhara,city,,,,,,,,,,,,,,,,,,,,,,,Asia,,Uzbekistan,uz,,,,,,,,,,,,,,,,,,,,,,,,,,,39.77472,64.42861,,,,,,,,,,,,,,,,,,,,,,,,,,,Bukhara,,,,,,,,,Bukhara,,,,,,,
80,BO,BOL,Bolivia,country,,,,,,,,,,,,,,,,,,,,,,,South America,,Bolivia,bo,,,,,,,,,,,,,,,,,,,,,,,,,,,-17.0568696,-64.9912286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,VE,VEN,Bolivia,city,,,,,,,,,,,,,,,,,,,,,,,South America,,Venezuela,ve,Municipio Candelaria,,,,,,,,,,,,,,,,,,,,,,,,,,9.555811,-70.3163852,,,,,,,,,,,,,,,,,,,,,,,,,,,Trujillo,T,,,,,,,,Bolivia,,,,,,,
82,US,USA,Bolivia,city,,,,,,,,,,,,,,,,,,Bolivia,,,,,North America,,USA,us,Brunswick County,,,,,,,,,,,,,,,,,,,,,,,,,,34.0676715,-78.1483283,,,,,,,,,,,,,,,,,,,,,,,,,,,North Carolina,NC,,,,,,,,,,,,,,,
83,US,USA,Bolivia,village,,,,,,,,,,,,,,,,,,,,,,,North America,,USA,us,Christian County,,,,,,,,,,,,,,,,Bolivia,,,,,,,,,,39.7422676,-89.3470299,,,,,,,,,,,,,,,,,,,,,,,,,,,Illinois,IL,,,,,,,,,,,,,,,
84,CO,COL,Bolivia,village,,,,,,,,,,,,,,,,,,,,,,,South America,,Colombia,co,Pensilvania,,,,,,,,,,,,,,,,,,,,,,,,,,5.3242753,-75.1136863,,,,,,,,,,,,,,,,,,,,,,,,,,,Caldas,CAL,Alto Oriente,,,,,,,,,,,,,Bolivia,
85,CO,COL,Bolivia,village,,,,,,,,,,,,,,,,,,,,,,,South America,,Colombia,co,El Paujil,,,,,,,,,,,,,,,,,,,,,,,,,,1.3459418,-75.1083788,,,,,,,,,,,,,,,,,,,,,,,,,,,Caquetá,CAQ,,,,,,,,,,,,,,Bolivia,
86,CO,COL,Bolivia,village,,,,,,,,,,,,,,,,,,,,,,,South America,,Colombia,co,Morelia,,,,,,,,,,,,,,,,Bolivia,,,,,,,,,,1.2872978,-75.6335618,,,,,,,,,,,,,,,,,,,,,,,,,,,Caquetá,CAQ,,,,,,,,,,,,,,,
